Mercedes Classe ML 350;350 BlueTEC Fascination 7G-Tronic +;62 000;2012;17;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe ML 350&id=15503338&data=1&num=1&format=m;44 900;
Mercedes Classe E 220;Coup?220 d 194ch Fascination 9G-Tronic;6 000;2017;59;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe E 220&id=15503215&data=1&num=1&format=m;64 900;
Mercedes GLC;220 d Sportline 170ch 4Matic 9G-Tronic;29 000;2015;51;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=GLC&id=15475524&data=1&num=1&format=m;49 900;
Mercedes CLS;350 CDI;58 403;2013;37;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CLS&id=15313736&data=1&num=1&format=m;37 500;
Porsche 911;carrera coupe;1 500;2013;66;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911&id=11470992&data=1&num=1&format=m;84 900;
Porsche 911;911 TYPE 996 996 2 3.6 CARRERA TARGA;121 500;2002;93;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911&id=15188236&data=1&num=1&format=m;33 000;
Audi A6 Avant;2.0 TDI 190ch S line quattro S tronic 7;13 149;2016;83;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A6 Avant&id=15466951&data=1&num=1&format=m;49 900;
Mercedes Classe C 250;250 BlueTEC Sportline 4Matic 7G-Tronic Plus;37 300;2015;35;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe C 250&id=15205528&data=1&num=1&format=m;41 900;
Mercedes Classe C 220;220 d 170ch Sportline 9G-Tronic;7 900;2017;59;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe C 220&id=15365534&data=1&num=1&format=m;52 900;
Audi Q5;2.0 TDI 190ch S line TTES OPTIONS quattro S tronic 7 clean d;11 550;2015;33;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=Q5&id=15067732&data=1&num=1&format=m;45 950;
Bmw 420;dA xDrive 190ch Luxury;84 730;2016;33;http://www.auto-selection.com/modules/getPhoto.php?marque=Bmw&modele=420&id=15377525&data=1&num=1&format=m;34 900;
﻿Bmw X5;xDrive25dA 231ch M Sport;16 686;2016;31;http://www.auto-selection.com/modules/getPhoto.php?marque=Bmw&modele=X5&id=15363964&data=1&num=1&format=m;71 900;
Porsche 911 Type 991;991 CARRERA 4 GTS 3.8 SPORT CHRONOPASM PDCC PCM;13 500;2015;57;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911 Type 991&id=15322124&data=1&num=1&format=m;118 490;
Audi Q3;2.0 TFSI 180ch Business line quattro S tronic 7;50;2016;75;http://www.voiture-de-prestige.com/images/default.gif;38 900;
Audi Q5;3.0 V6 TDI 245ch FAP S line quattro S tronic 7;60 493;2014;95;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=Q5&id=15244608&data=1&num=1&format=m;37 900;
Jaguar XF;V6 3.0 D 240ch Luxe Premium;3 557;2015;68;http://www.auto-selection.com/modules/getPhoto.php?marque=Jaguar&modele=XF&id=15403974&data=1&num=1&format=m;53 758;
Mercedes GLA;200 CDI Fascination 7G-DCT;47 704;2014;47;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=GLA&id=15504037&data=1&num=1&format=m;30 500;
Maserati Ghibli;3.0 V6 330 ch;17 400;2015;31;http://www.auto-selection.com/modules/getPhoto.php?marque=Maserati&modele=Ghibli&id=15312459&data=1&num=1&format=m;72 240;
Bmw X5;xDrive30dA 245ch Luxe;78 221;2010;33;http://www.voiture-de-prestige.com/images/default.gif;32 490;
Audi Q5;2.0 TDI 177ch quattro S tronic GPS XENON ATTELAGE;62 300;2013;33;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=Q5&id=15067774&data=1&num=1&format=m;31 890;
Audi Q5;2.0 TDI 150ch clean diesel S line;36 717;2015;64;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=Q5&id=15377154&data=1&num=1&format=m;37 900;
Audi TT;1.8 TFSI 180chlinetronic 7;3 456;2016;83;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=TT&id=15315259&data=1&num=1&format=m;42 900;
Chevrolet Camaro;2SS V8 6,2L 455CH;500;2016;69;http://www.auto-selection.com/modules/getPhoto.php?marque=Chevrolet&modele=Camaro&id=15502147&data=1&num=1&format=m;49 900;
Bmw X4;xDrive20dA 190ch M Sport;54 880;2014;30;http://www.voiture-de-prestige.com/images/default.gif;49 900;
Aston martin DBS Volante;V12 5.9 Touchtronic2;14 600;2010;98;http://www.auto-selection.com/modules/getPhoto.php?marque=Aston martin&modele=DBS Volante&id=15133918&data=1&num=1&format=m;164 000;
Audi A7 Sportback;3.0 V6 BiTDI 326 Comp? qto Tip;33 629;2015;76;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A7 Sportback&id=15379353&data=1&num=1&format=m;69 990;
﻿Land rover Range Rover Evoque;2.0 TD4 180 HSE Dynamic Mark III;5 000;2016;63;http://www.auto-selection.com/modules/getPhoto.php?marque=Land rover&modele=Range Rover Evoque&id=15366728&data=1&num=1&format=m;56 900;
Audi Q5;2.0 TDI 177ch quattro S tronic XENON SEMI-CUIR;56 700;2013;33;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=Q5&id=15067772&data=1&num=1&format=m;30 900;
Bmw X4;xDrive20dA 190ch xLine;11 115;2016;24;http://www.auto-selection.com/modules/getPhoto.php?marque=Bmw&modele=X4&id=15284007&data=1&num=1&format=m;51 900;
Mercedes CL;45 AMG 4MATIC SPEEDSHIFT DCT;16 000;2015;54;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CL&id=15051046&data=1&num=1&format=m;54 900;
Mercedes GLA;(X156) 200 CDI 4MATIC SENSATION 7G-DCT;9 250;2016;09;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=GLA&id=15167766&data=1&num=1&format=m;33 990;
Lexus IS;300h Executive BVA;31 700;2015;81;http://www.auto-selection.com/modules/getPhoto.php?marque=Lexus&modele=IS&id=15258153&data=1&num=1&format=m;35 900;
Porsche Cayman;2l9 phase 2 987 265cv;65 400;2010;67;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=Cayman&id=15055266&data=1&num=1&format=m;37 900;
Porsche Cayenne;3.0 262ch Diesel;45 400;2015;95;http://www.voiture-de-prestige.com/images/default.gif;67 900;
Porsche Cayenne;4.8 V8 Turbo 500 cv;48 600;2012;31;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=Cayenne&id=15419681&data=1&num=1&format=m;668 500;
Mercedes CL;220 CDI 177ch Sensation 7G-DCT;19 490;2015;83;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CL&id=15433607&data=1&num=1&format=m;35 900;
Mercedes GLA;220 CDI Fascination 4Matic 7G-DCT;13 250;2015;98;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=GLA&id=15366624&data=1&num=1&format=m;38 500;
Mercedes Classe E 220;220 d 194ch Sportline 9G-Tronic;7 470;2016;83;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe E 220&id=15160335&data=1&num=1&format=m;55 900;
Porsche Panamera;Turbo 550ch G2;5 800;2016;51;http://www.voiture-de-prestige.com/images/default.gif;185 350;
Porsche 911;964 Carrera RS  964 Carrera RS;72 693;1992;76;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911&id=15106623&data=1&num=1&format=m;221 500;
Audi Q3;2.0 TDI 150 ultra Ambiente;10;2015;74;http://www.voiture-de-prestige.com/images/default.gif;34 900;
﻿Porsche Cayenne;4.8 GTS;58 800;2012;51;http://www.voiture-de-prestige.com/images/default.gif;66 900;
Mercedes Classe C 200;200 d 1.6 Sportline 7G-Tronic Plus;27 855;2015;27;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe C 200&id=15221560&data=1&num=1&format=m;34 900;
Audi A5;2.0 TDI 190 cd S line qto Stro E6;9 999;2016;68;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A5&id=15485562&data=1&num=1&format=m;53 900;
Audi A5;3.0 V6 TDI 245ch S line quattro S tronic 7;6 640;2015;76;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A5&id=15460863&data=1&num=1&format=m;53 900;
Audi Q7;3.0 V6 TDI 373ch e-tron Avus quattro Tiptronic;9 000;2016;35;http://www.voiture-de-prestige.com/images/default.gif;94 990;
Mercedes CL;180 d Sensation 7G-DCT;1 258;2017;24;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CL&id=15501582&data=1&num=1&format=m;40 490;
Mercedes Classe C 220;220 d Fascination 7G-Tronic Plus;11 513;2016;39;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe C 220&id=15459225&data=1&num=1&format=m;39 990;
Audi A6 Avant;2.0 TDI 177 Ambition Luxe Multitronic8;11 476;2014;74;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A6 Avant&id=14138932&data=1&num=1&format=m;41 690;
Mercedes CLS;350 CDI 4 Matic 7G-Tronic +;77 740;2014;85;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CLS&id=15407729&data=1&num=1&format=m;42 800;
Mercedes Classe E 250;250 CDI Business Executive 4Matic 7G-Tronic+;71 918;2013;41;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe E 250&id=15231134&data=1&num=1&format=m;36 900;
Audi A5;2.0 TFSI 252ch S line quattro S tronic 7;7 500;2016;34;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A5&id=15464274&data=1&num=1&format=m;53 990;
Audi A7 Sportback;3.0 V6 BiTDI 320ch S line quattro Tiptronic;34 580;2015;34;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A7 Sportback&id=15455898&data=1&num=1&format=m;53 990;
Porsche 911;3.8 430 CARRERA GTS PDK;28 500;2015;37;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911&id=15028192&data=1&num=1&format=m;121 900;
Mercedes CL;GLA 45 AMG 4-MATIC SPEEDSHIFT DCT AMG A;76 985;2015;30;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CL&id=15459026&data=1&num=1&format=m;39 990;
